Material_ID,RFQ_ID,Part_Number,Quantity_Required,Material_Description,Notes,Position
15053,5728,1584353,1,CUBIERTA TAPA FLSMIDTH MMAA56210300,CUBIERTA; MODIFICADOR: TAPA FINAL; NOMBRE FABRICANTE: FLSMIDTH; NUMERO DE PARTE: MMAA-562-10300; EQUIPO DEL QUE ES PARTE: BOMBA; FAB RICANTE DEL EQUIPO: FLSMIDTH; MODELO DEL EQUIPO: SLURRYMAX 4X3; CARACTERISTICAS ADICIONALES: MARCO MMAA,1
15054,5728,1584356,1,ESPARRAGO ROSC FLSMIDTH MM10033416019,"ESPARRAGO; MODIFICADOR: ROSCADO; NOMBRE FABRICANTE: FLSMIDTH; NUMERO DE PARTE: MM100-334-16019; EQUIPO DEL QUE ES PARTE: BOMBA; FABR ICANTE DEL EQUIPO: FLSMIDTH; MODELO DEL EQUIPO: SLURRYMAX 4X3; CARACTERISTICAS ADICIONALES: DIMENSIONES M16X195, A2",2
15055,5728,1584359,1,PORTADOR ANILLO FLSMIDTH SM10012436001,"PORTADOR; MODIFICADOR: ANILLO DESGASTE; NOMBRE FABRICANTE: FLSMIDTH; NUMERO DE PARTE: SM100-124-36001; EQUIPO DEL QUE ES PARTE: BOMB A; FABRICANTE DEL EQUIPO: FLSMIDTH; MODELO DEL EQUIPO: SLURRYMAX 4X3; CARACTERISTICAS ADICIONALES: ALTA TEMPERATURA, URETANO POLIETE R",3
15056,5728,1584361,1,CARCASA REVEST FLSMIDTH SM1000100001,REVESTIMIENTO; MODIFICADOR: CARCASA; NOMBRE FABRICANTE: FLSMIDTH; NUMERO DE PARTE: SM100-01-00001; EQUIPO DEL QUE ES PARTE: BOMBA; F ABRICANTE DEL EQUIPO: FLSMIDTH; MODELO DEL EQUIPO: SLURRYMAX 4X3; CARACTERISTICAS ADICIONALES: KREBALLOY 1,4
15081,5742,1261539,1,MAZO CABLES CAT 1209288,"MAZO CABLES, NOMBRE FABRICANTE: CATERPILLAR, NUMERO PARTE: 120-9288, EQUIPO AL CUAL PERTENECE: CAMION EXTRACCION 789",1
15116,5747,1255091,1,VALVULA SOLENOIDE ORTHODYNE MOPD500,"VALVULA SOLENOIDE, TIPO: SEGURIDAD, DIAMETRO AGUJERO: 3 64"" REF: ORTHODYNE MOPD500",1
14933,5713,4206634,1,VALVULA PINCH 14 CONO 12X8 DPVE ANSI,"NOMBRE ELEMENTO: VÁLVULA PINCH 14"" CONO 12""X8"" DE MANGUITO DOBLE DPVE ANSI 150 DESIGNACION TIPO MODELO: NEUMATICA MATERIAL CUERPO: ALUMINIO ASTMA216 MEDIDA PRESION: 16 BAR CLASE: 150 DIAMETRO NOMINAL: 14"" CONO INTERIOR 12""X8"" TIPO CONEXION: ANSI 150 TIPO VASTAGO: IPA ACTUADOR NEUMÁTICO RANGO TEMPERATURA OPERACION: -50° C - 80° C METODO ACCIONAMIENTO: ACTUADOR NEUMATICO INTELIGENTE RDC IPA USO DESIGNADO: RELAVE ESPESADORES MARCAS SUGERIDAS: DYPRO",1
14937,5717,10382177,1,"VALVE,CHECK,3IN NB,KEYSTONE 813SS3IN","VALVE,CHECK,3IN NB,KEYSTONE 813SS3IN",1
15186,5774,1029870,1,CONTRAPESO SYMONS 86428350,"CONTRAPESO, SYMONS N P 8642-8350",1
15264,5795,1432692,1,UPS 6KVA LIEBERT GXT36000RT230,"UPS, POTENCIA: 6KVA, TENSION ENTRADA: 220 230 240VCA, TENSION SALIDA: 230VCA, FREC: 40-70HZ, LIEBERT N P GXT3-6000RT230  UPS LIEBERT (COMPATIBLE CON BANCO BATERIAS EXTERNO LIEBER  N P GXT2240VBATT )  POTENCIA: 6KVA TENSION ENTRADA: 220 230 240VCA. TENSION SALIDA: 230VCA. FREC: 40-70HZ. MARCA: LIEBERT N P: GXT3-6000RT230 USO: SISTEMA ACT,TELECOMANDO ESMERALDA Y SEÑALIZACION FERROCARRIL. DEBE INCLUIR KIT DE MONTAJE RIEL EM-RMKIT18-32",1
15179,5769,1520852,1,BOMBA OUTOTEC N048516353,"BOMBA ; NOMBRE FABRICANTE: OUTOTEC ; NUMERO DE PARTE: N048516353 ; EQUIPO DEL QUE ES PARTE: MOLINO BO LAS ; FABRICANTE DEL EQUIPO: O UTOTEC ; MODELO DEL EQUIPO: 6,1X9,75m EGL ; CARACTERISTI CAS ADICIONALES: DRIVE TRAIN, ACOPLAMIENTO, FUNDICION PLANTA TRATAMIENTO DE  ESCORIA",1
15263,5794,1578823,1,O-RING SANDVIK 873154500,"O-RING; NOMBRE FABRICANTE: SANDVIK; NUMERO DE PARTE: 873.1545-00; EQUIPODEL QUE ES PARTE: CHANCADOR; FABRICANTE DEL EQUIPO: SANDVIK; MODELO DELEQUIPO: 890; CARACTERISTICAS ADICIONALES: DUST COLLAR, POLIMERO,DIMENSIONES; DIAMETRO: 1390mm, ESPESOR 6,99mm",1
15276,5799,1579406,1,CAMBIO TRANSM JG SANDVIK BG00000068K,JUEGO CAMBIO TRANSMSION; NOMBRE FABRICANTE: SANDVIK; NUMERO DE PARTE: BG00000068K; EQUIPO DEL QUE ES PARTE: CARGADOR FRONTAL; FABRIC ANTE DEL EQUIPO: SANDVIK; MODELO DEL EQUIPO LH517,1
15185,5773,4219955,1,"BOMBA VACIO 120mbar 40m3/h 1,5kW 1400rpm","BOMBA; DESIGNACION TIPO MODELO: VACIO PALETAS AUTOLUBRICADAS; MEDIDA PRESION: FINAL ABSOLUTA 120mbar (24"" Hg); CAUDAL: 40m3 h; TEMPE RATURA MAXIMA OPERACION: 75-80°C; TIPO CONEXION: 1""G; VOLTAJE (V): 220 380V; POTENCIA: 1,5kW; VELOCIDAD (RPM): 1400rpm; FRECUENCIA ( HZ): 50 60Hz; DIMENSIONES: ALTO 308mm, ANCHO 230mm, LARGO 484mm; USO DESIGNADO: LABORATORIO METALURGICO; CARACTERISTICAS ADICIONALES : MODELO SB-40, NIVEL SONORO: 68dB (A); MARCAS SUGERIDAS: DVP",1
15127,5753,11324317,1,"VÁLVULA,PINCHA,ADJUNTA,6IN FB,CILINDRO","Descripción larga
Válvula,Pellizco
Short Name: Válvula,Pincha
Diseño/Tipo De Válvula: Adjunta
Tamaño Nominal De Válvula: 6in full bore
Método De Operación: Cilindro neumático dbl efecto
Presión nominal: 80psi
Artículos adjuntos: Interruptor de límite 18mm
Artículos adjuntos: Solenoide 110V AC
Características Especiales: T1120,PVE
Características Especiales: Fallar al final

T1120 VALVE PVE
PVE150A10-603LRX, SBRT
ENCLOSED PINCH VALVE, 6"" FULL BORE SLEEVE
PNEUMATIC DOUBLE ACTING CYLINDER
RX: Readiness for 18 mm inductive limit swith
SOLENOID 110 Vac included
FAIL LAST, MIN AIR SUPPLY: 80 PSI

VALVES
T1120 VALVE PVE
PVE150A10-603LRX, SBRT

ENCLOSED PINCH VALVE, 6"" FULL BORE
PNEUMATIC DOUBLE ACTING CYLINDER
RX: Readiness for 18 mm inductive limit swith
SOLENOID 110 Vac included
FAIL LAST, MIN AIR SUPPLY: 80 PSI",1
15367,5839,1570633,1,SENSOR EMERSON MS140AR1KYACA1M0NHL2Q4YS,"SENSOR; MODIFICADOR: MAGNETICO; NOMBRE FABRICANTE: EMERSON PROCESS MANAGEMENT; NUMERO DE PARTE: MS140AR1KYACA1M0NHL2Q4YS; CARACTERIS TICAS ADICIONALES: LODO 14""",1
15370,5841,4188956,1,"VALVULA MARIPOSA 14"" 275PSI LUG","VALVULA MARIPOSA, DIAMETRO: 14"", NORMA BRIDA: ANSI B 16.5 CLASE 150,MATERIAL EJE - DISCO - CUERPO: HASTELLOY C, MATERIAL ASIENTO: VITON,PRESION MAX OPERACION: 275PSI CWP, TEMPERATURA OPERACION: -20 390°F,OPERADA C CAJA ENGRANAJE, TIPO LUG",1
15363,5837,1187038,1,BEARING PAD ASSY 8D 05-025834 METSO,BEARING PAD ASSY 36x36 8D 05-025834 METSOMOLINO SAG,1
15292,5806,1292874,1,TOOL TILT LEVER PIN CAT 2283831,"TOOL TILT LEVER PIN, NOMBRE FABRICANTE: CATERPILLAR, NUMERO PARTE: 228-3831, EQUIPO AL CUAL PERTENECE: CARGADOR FRONTAL R1600G",1
15359,5833,4149602,1,"CAÑERIA RECTA 24""X1860mm PL1608PL02ME033","NOMBRE ELEMENTO: CAÑERIA; MODIFICADOR: RECTA; NUMERO PLANO: 1608-PL-02-ME-03-3; NUMERO ITEM PLANO: ; NUMERO REVISION: ; USO DESIGNAD O: ; CARACTERISTICAS ADICIONALES: DIAMETRO 24"", LARGO 1860mm, 1 EXTREMO STUB END 26"", INBELT 05 000354",1
15358,5832,4218892,1,"MEDIDOR FLUJO MEC 0-30L/m 1/2""NPT","MEDIDOR; DESIGNACION TIPO MODELO: FLUJO; RANGO MEDICION: 0-30L m; TIPO CONEXION: 1 2""NPT; USO DESIGNADO: DIESEL; CARACTERISTICAS ADI CIONALES: DESPLAZAMIENTO POSITIVO, TIPO MECANICO, BATERIA ALTA DURACION, CORRIENTE CONTINUA",1
15295,5809,4126255,1,"VALVULA COMP A216 WCB 300 8"" AREA 810","VALVULA; DESIGNACION TIPO MODELO: COMPUERTA; MATERIAL CUERPO: A216 WCB; MATERIAL TRIM: SIN INFORMACION; MEDIDA PRESION: SIN INFORMAC ION; CLASE: 300; DIAMETRO NOMINAL: 8""; TIPO CONEXION: SIN INFORMACION; TIPO VASTAGO: SIN INFORMACION; RANGO TEMPERATURA OPERACION: S IN INFORMACION; METODO ACCIONAMIENTO: SIN INFORMACION; POSICION TRABAJO: SIN INFORMACION; USO DESIGNADO: AREA 810, SISTEMA REFINO, A DICION ACIDO A REFINO; ESTANDARES Y ESPECIFICACIONES: SIN INFORMACION; CARACTERISTICAS ADICIONALES: SIN INFORMACION; MARCAS SUGERIDA S:",1
15296,5810,4204337,1,CONTROLADOR CARGA SOLAR 250V 100A,"CONTROLADOR; TIPO: CARGA SOLAR; VOLTAJE (V): 250V; CORRIENTE (A): 100A; POTENCIA: 1450W, 2900W, 4350W, 5800W; MARCAS SUGERIDAS: VICT RON ENERGY 250 100",1
15298,5812,4191031,1,BATERIA IND VRLA 200A/h 6V 272X206X347mm,"BATERIA; TIPO: INDUSTRIAL VRLA; CAPACIDAD HORA AMPER: 200A h; VOLTAJE (V): 6V; DIMENSIONES: LARGO 272m m, ANCHO 206mm, ALTO 347mm; U SO DESIGNADO:; CARACTERISTIC AS ADICIONALES: GEL, TIPO A606 200, TIPO DE ACUERDO DIN 40744 6V4OPZV200, PESO 45,7kg, RESISTENCIA INTE RNA 2,71mOhm; MARCAS SUGERIDA S: GNB SONNENSCHEIN NGA6060200HS0FB",1
15474,5891,11286751,1,"TROUSERS,TALLA L,APROLTDA 83602304400204","Descripción larga
Trousers
Modifier 1: Talla L
Additional modifiers: Cuero
Additional modifiers: Kevlar",1
15471,5888,4220524,1,TABLERO FZA CTRL IP54 2000X900X600mm,"TABLERO; DESIGNACION TIPO MODELO: FUERZA Y CONTROL; INDICE PROTECCION:IP54; ALTO: 2000mm; ANCHO: 900mm; PROFUNDIDAD: 600mm; MONTAJE:AUTOSOPORTADO CON CANCAMOS DE IZAJE.; CARACTERISTICAS ADICIONALES:POTENCIA: 300kW, 380VAC, INCLUYE: VARIADOR DE FRECUENCIA EMOTRON OSIMILAR, CONTROLADOR SCHNEIDER MODELO PLC M221, MODULO ANALOGICO,PANTALLA HMI SCHNEIDER O SIMILAR, CONSIDERA SISTEMA DE BLOQUEO PUERTAEXTERIOR, LUZ PILOTO, PROTECCION DE TRABAJO EN SECO, BOTONERA PARTIRPARAR EN PUERTA EXTERIOR, PANELES DE CONFIGURACION PUERTA INTERIOR, APTOPARA 1500 MSNM (PARA BOMBAS INFERIOR A 300kW), PROTECCIONES ELECTRICASGENERALES PARA BOMBAS, MARCA SCHNEIDER O SIMILAR SEGUN POTENCIA,DISTANCIA DE OPERACION ENTRE MOTOR Y TABLERO CON UN MAXIMO DE 300m,CIERRE: PUERTA ABATIBLE CON BISAGRAS Y PORTA CANDADO.",1
15431,5876,1215080,1,CILINDRO DE LEVANTE PLUMA ROCK L IG92121,"CILINDRO, CARACTERISTICAS GENERALES: PLUMA, PARA EQUIPOS ROCK LOADERSEGUN PLANO CONSIDERA NOTAS DEL PLANO ESPECIALMENTE ESPESOR DEL CROMADO, MATERIALES, PROTECCION SUPERFICIAL Y OTROS, NOMBRE FABRICANTE:ROCK LOADER, DOCUMENTO REFERENCIA: IG8-92121",1
15438,5878,1574014,1,PROTECCION MANG JG SANDVIK BG00605797,"JUEGO PROTECCION; MODIFICADOR: MANGUERA; NOMBRE FABRICANTE: SANDVIK; NUMERO DE PARTE: BG00605797; EQUIPO DEL QUE ES PARTE: CHANCADOR  TERCIARIO 4; FABRICANTE DEL EQUIPO: SANDVIK; MODELO DEL EQUIPO: 895; CARACTERISTICAS ADICIONALES: , JUEGO MANGUERA Y PROTECCIONES P ARA SISTEMA DE LUBRICACION HIDROSET",2
15439,5878,1583244,1,VALVULA DESCARGA ELEC SANDVIK 4527171903,VALVULA; MODIFICADOR: DESCARGA ELECTRICA; NOMBRE FABRICANTE: SANDVIK; NUMERO DE PARTE: 452.7171-903; EQUIPO DEL QUE ES PARTE: CHANCA DOR; FABRICANTE DEL EQUIPO: SANDVIK; MODELO DEL EQUIPO: 895; CARACTERISTICAS ADICIONALES: PLANTA CONCENTRADORA EL TENIENTE,3
15465,5885,1424713,1,LAVA OJOS PORTATIL 16GAL POLIET VERDE,"LAVA OJOS PORTATIL, CAPACIDAD TANQUE: 16GAL, MAT: POLIETILENO VERDE SEGURIDAD, C MANILLA FIJACION, REFUERZOS COSTALES, CONJUNTO CABE ZAL DE AEROSOL DE SPRAY DUAL, C ENTREGA 53L AGUA POR 15 MINUTOS, SEGUN NORMA Z358 1-2004",1
15500,5908,1584355,1,MARCO PODER FLSMIDTH MMAA50016001,"MARCO; MODIFICADOR: PODER; NOMBRE FABRICANTE: FLSMIDTH; NUMERO DE PARTE: MMAA-500-16001; EQUIPO DEL QUE ES PARTE: BOMBA; FABRICANTEDEL EQUIPO: FLSMIDTH; MODELO DEL EQUIPO: SLURRYMAX 4X3; CARACTERISTICAS ADICIONALES: MMAA, 1,75"", 5 BSW ACERO INOXIDABLE",2
15497,5906,1434033,1,BASE MOTOR MB50X270-2 02 200 507,BASE MOTOR MODELO: 02 200 507 MARCA: ROSTA MB50X270-2 TAMAÑO MOTOR:PESO: 43KG USO: ALIMENTADORES JEFFREY,1
15440,5879,11219961,1,"CONTAINER,MODULE 12,VALLRUBB VRCB5013","PR 5277527259
Container
Modifier 1                     Module 12
Additional modifiers           Ball mill 005

PR 5279636052
Structure
Modifier 1                     Discharge
Additional modifiers           C/W rubber ceramic liners
Additional modifiers           Sump mill ball 005 MD27-30",1
15441,5879,11220016,1,"STRUCTURE,DISCH,VALLRUBB VRCB502730","PR 5277527259
Container
Modifier 1                     Module 12
Additional modifiers           Ball mill 005

PR 5279636052
Structure
Modifier 1                     Discharge
Additional modifiers           C/W rubber ceramic liners
Additional modifiers           Sump mill ball 005 MD27-30",2
15065,5731,1443036,1,MULTIMETRO FLUKE 289,"MULTIMETRO DIGITAL, INCLUIDO LOS ACCESORIOS CORRESPONDIENTES, RANGO MEDIDA TENSION: 50MV-1000V, RANGO MEDIDA INTENSIDAD: 500UA-10A, RANGO MEDIDA TEMPERATURA: -200°C-1.350°C, RANGO MEDIDA RESISTENCIA: 50.000OHM-500MOHM, RANGO MEDIDA CAPACIDAD: 1000NF-100MF, RANGOMEDIDA FREC: 10HZ-1000KHZ, C GRAFICO DE TENDENCIAS, FLUKE MOD.259",1
15066,5731,1443036,1,MULTIMETRO FLUKE 289,"MULTIMETRO DIGITAL, INCLUIDO LOS ACCESORIOS CORRESPONDIENTES, RANGO MEDIDA TENSION: 50MV-1000V, RANGO MEDIDA INTENSIDAD: 500UA-10A, RANGO MEDIDA TEMPERATURA: -200°C-1.350°C, RANGO MEDIDA RESISTENCIA: 50.000OHM-500MOHM, RANGO MEDIDA CAPACIDAD: 1000NF-100MF, RANGOMEDIDA FREC: 10HZ-1000KHZ, C GRAFICO DE TENDENCIAS, FLUKE MOD.259",2
15191,5778,11120554,1,"ACOPLE,CONDUCTO ELÉC,RECTO,POLIAMIDA,DN","11120597 
Codo,Conducto eléc
Short Name                     Codo,Conducto Eléc
Tipo De Diseño                 Curva
Datos Del Ángulo               90grad
Material Del Codo              Poliamida
Tamaño Nominal Del Codo        DN10
Datos Conexión Del Codo        Pg9
Color Del Codo                 Negro
-
11120554
De acoplamiento,Conducto eléc
Short Name                     Acople,Conducto Eléc
Tipo De Diseño                 Recto
Coupling material              Poliamida
Tamaño Nominal Del Acople      DN12
Coupling connection data       Pg9
Color Del Acople               Negro",2
15190,5778,11120597,1,"CODO,CONDUCTO ELÉC,CURVA,90 GRADOS,POLI","11120597 
Codo,Conducto eléc
Short Name                     Codo,Conducto Eléc
Tipo De Diseño                 Curva
Datos Del Ángulo               90grad
Material Del Codo              Poliamida
Tamaño Nominal Del Codo        DN10
Datos Conexión Del Codo        Pg9
Color Del Codo                 Negro
-
11120554
De acoplamiento,Conducto eléc
Short Name                     Acople,Conducto Eléc
Tipo De Diseño                 Recto
Coupling material              Poliamida
Tamaño Nominal Del Acople      DN12
Coupling connection data       Pg9
Color Del Acople               Negro",1
15365,5837,1541944,1,REVESTIMIENTO TRUNION P/MOLINO SAG 1-2,ARANDELA RESORTE M16 ZP FABRICANTE RUSSELL NUMERO DE PARTES 01B0437 USO: ENLAINADORA 5 AÑOS,3
15057,5728,1448563,1,CASING ROLL PIN FL SMIDTH RM08063410001,"CAJA ROLLO PIN (CASING ROLL PIN), FL SMIDTH N P RM080-634-10001, USO: BOMBA KREBS SLURRY MAX 4X4-12",5
15058,5728,1448564,1,WEAR RING SCREW FL SMIDTH MM08008416001,"CAJA ROLLO PIN (CASING ROLL PIN), FL SMIDTH N P RM080-634-10001, USO: BOMBA KREBS SLURRY MAX 4X4-12",6
15277,5799,1583028,1,FILTRO COMBUSTIBLE SANDVIK BG00414347,FILTRO; MODIFICADOR: COMBUSTIBLE; NOMBRE FABRICANTE: SANDVIK; NUMERO DE PARTE: BG00414347; EQUIPO DEL QUE ES PARTE: PALA,2
15278,5799,1583028,1,FILTRO COMBUSTIBLE SANDVIK BG00414347,FILTRO; MODIFICADOR: COMBUSTIBLE; NOMBRE FABRICANTE: SANDVIK; NUMERO DE PARTE: BG00414347; EQUIPO DEL QUE ES PARTE: PALA,3
15281,5799,1583028,1,FILTRO COMBUSTIBLE SANDVIK BG00414347,FILTRO; MODIFICADOR: COMBUSTIBLE; NOMBRE FABRICANTE: SANDVIK; NUMERO DE PARTE: BG00414347; EQUIPO DEL QUE ES PARTE: PALA,6
15284,5802,1518555,1,UPS SOLAHD SDU2024,"UPS; MODIFICADOR: ; NOMBRE FABRICANTE: EMERSON SOLAHD; NUMERO DE PARTE: SDU 20-24; EQUIPO DEL QUE ES PARTE: SISTEMA CONTROL ENFRIADO  RES MOLINOS CHILLERS; FABRICANTE DEL EQUIPO: ; MODELO DEL EQUIPO: ; NUMERO DE SERIE DEL EQUIPO: ; CARACTERISTICAS ADICIONALES: ENTR A DA: VOLTAJE NOMINAL: 24VDC, SALIDA: VOLTAJE NOMINAL: 24VDC, CORRIENTE SALIDA: 20A, DIMENSIONES: 124X77X116mm, PESO: 0,77kg",1
15285,5802,1518555,1,UPS SOLAHD SDU2024,"UPS; MODIFICADOR: ; NOMBRE FABRICANTE: EMERSON SOLAHD; NUMERO DE PARTE: SDU 20-24; EQUIPO DEL QUE ES PARTE: SISTEMA CONTROL ENFRIADO  RES MOLINOS CHILLERS; FABRICANTE DEL EQUIPO: ; MODELO DEL EQUIPO: ; NUMERO DE SERIE DEL EQUIPO: ; CARACTERISTICAS ADICIONALES: ENTR A DA: VOLTAJE NOMINAL: 24VDC, SALIDA: VOLTAJE NOMINAL: 24VDC, CORRIENTE SALIDA: 20A, DIMENSIONES: 124X77X116mm, PESO: 0,77kg",2
15067,5732,1208700,1,BATERIA DE GEL 12 VOLT 175 A/H;518MM,BATERIA DE GEL 12VOLT 175 A H; 518MM LAR;291MM ANCH;242MM ALT; LIBRE DE MANTENCIÓN PARA LOCOMOTORA  FFCC ESMERALDA LA DIMENSIÓN DE LA BATERIA PUEDEN VARIAR EN 1 O 2 CENTIMETROS,1
15068,5732,1426726,1,INPUT MODULE 24VDC GE.FANUC IC694MDL645,BATERIA DE GEL 12VOLT 175 A H; 518MM LAR;291MM ANCH;242MM ALT; LIBRE DE MANTENCIÓN PARA LOCOMOTORA  FFCC ESMERALDA LA DIMENSIÓN DE LA BATERIA PUEDEN VARIAR EN 1 O 2 CENTIMETROS,2
15508,5913,4208294,1,PANTALON CARGO TERM IMPL VARON T-XL,"PANTALON; TIPO: CARGO TERMICO IMPERMEABLE VARON; MATERIAL: 100% POLIESTER Y POLAR LAMINADO; TALLA COMERCIAL: XL; USO DESIGNADO: ALTA  CORDILLERA; ESTANDARES Y ESPECIFICACIONES: IMPERMEABILIDAD 3000mm, RESPIRABILIDAD 1000gm m2, REPELENTE AL AGUA, CON CAPACIDAD DE RE TENER EL CALOR CORPORAL. COSTURAS REFORZADAS Y CORDURA EN RODILLAS PARA MAYOR DURABILIDAD DE LA PRENDA. PANTALON APTO PARA PROTEGER A LAS PERSONAS DEL RIESGO A LAS BAJAS TEMPERATURAS Y AGUAS LLUVIAS; MARCADO: LOGO CODELCO PIERNA IZQUIERDA. (PUEDE SER BORDADO O SUB LIMADO); NORMA CHILENA NCH 44: CONTROL DE CALIDAD. INSPECCION POR ATRIBUTOS. TABLAS Y PROCEDIMIENTOS DE MUESTREO; NORMA CHILENA NCH 1209: TEXTILES, ETIQUETADO Y SIMBOLOS PARA EL CUIDADO; NORMA CHILENA NCH 1597: METODO DE ENSAYO PARA DETERMINAR EL LIGAMENTO DE TEJI DOS PLANOS. ; CARACTERISTICAS ADICIONALES: MATERIAL (OPCIONAL): TRATAMIENTO DE LA TELA PARA MAYOR REPELENCIA AL AGUA; COLOR: SIN PRE FERENCIA; MARCAS SUGERIDAS: HARD WORK",1
